"name","Cup116m_Mean","Cup116m_Stdv","Cup116m_Min","Cup116m_Max","Cup114m_Mean","Cup114m_Stdv","Cup114m_Min","Cup114m_Max","Cup100m_Mean","Cup100m_Stdv","Cup100m_Min","Cup100m_Max","Vane100m_Mean","Vane100m_Stdv","Vane100m_Min","Vane100m_Max","Temp100m_Mean","Temp100m_Stdv","Temp100m_Min","Temp100m_Max","Sonic100m_Scalar_Mean","Sonic100m_Scalar_Stdv","Sonic100m_Scalar_Min","Sonic100m_Scalar_Max","Sonic100m_Dir","Sonic100m_Vector_Mean","Spd","Spd_stdv","Spd_min","Spd_max","Dir","Dir_stdv","W","W_stdv","Available","CNR","Broad"
"201509071100","2.29737","0.436317","1.01853","3.19492","2.29027","0.485124","0.857926","3.26162","2.26154","0.483488","1.00128","3.26945","46.9013","13.9161","2.23885","91.5513","15.8337","0.0381676","15.7785","15.9235","1.92972","0.563698","0.21095","3.36719","43.9598","1.86947",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"201509071110","2.33373","1.14269","0.540292","6.16171","2.02599","0.857467","0.522059","5.41615","2.08581","0.905685","0.533329","4.8152","44.0961","25.1249","0.0894073","359.864","16.1049","0.0949355","15.8548","16.2347","1.75082","1.0916","0.05","5.0572","37.0003","1.52537",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"201509071120","2.6568","0.516193","1.16156","4.43188","2.19485","0.629905","0.861483","3.67092","2.30559","0.452007","1.20883","3.75792","19.7781","18.9174","0.0310577","359.942","16.1648","0.0836284","16.0228","16.3059","2.14747","0.506298","0.355106","3.64516","17.6176","2.04087",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"201509071130","2.19811","0.616147","0.622069","3.82984","2.15986","0.64486","0.522059","3.75443","2.1293","0.554329","0.533329","3.75728","343.449","27.8901","0.149588","359.957","16.2069","0.0958357","16.0226","16.3393","1.73208","0.553829","0.1","3.47938","336.686","1.6187",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"201509071140","2.81388","0.951594","1.13844","7.15864","2.70615","1.02404","0.950788","6.85117","2.73136","1.01201","1.22396","6.60884","349.383","26.3227","0.185782","359.937","16.0705","0.196623","15.6183","16.324","2.55395","1.00423","0.674463","6.61127","340.617","2.33016",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"201509071150","3.99099","0.955631","2.09171","8.5663","3.74567","1.17489","1.14016","8.74007","3.89981","1.02025","1.77943","7.99771","339.182","24.7019","0.495032","359.905","15.7859","0.17623","15.4419","16.0005","3.73183","0.996548","1.43656","8.37499","335.62","3.35132",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"201509071200","4.70102","0.573233","3.39618","6.73112","4.7697","0.59408","3.40918","6.58769","4.86354","0.532691","3.5069","6.51519","316.031","8.17832","292.459","345.705","15.3056","0.0689763","15.2307","15.481","4.59521","0.539484","2.95195","6.45232","312.058","4.54453",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"201509071210","4.728","0.601856","2.97869","6.57823","4.76151","0.596246","2.69363","6.26177","4.85725","0.556953","3.05801","6.49719","318.651","7.71651","289.73","347.324","15.2523","0.0544663","15.1615","15.3434","4.53857","0.56445","2.72809","6.66217","314.672","4.49708",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"201509071220","5.32434","0.627634","3.69354","7.31055","5.38914","0.630209","3.70754","7.3116","5.43023","0.599738","3.96589","7.32849","315.786","6.86436","297.503","341.03","15.0942","0.0731071","15.0043","15.2261","5.13984","0.619257","3.51605","7.2892","311.974","5.1038",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"201509071230","4.97185","0.433415","3.82918","6.32496","5.03128","0.429342","3.86416","6.53466","5.06617","0.443898","3.97156","6.59441","313.73","7.03554","288.03","339.172","15.0633","0.0733552","14.97","15.2443","4.80036","0.500832","3.19132","6.76859","309.693","4.76045",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
