Load Case;Load [kg];S1;S2;S3;S4;S5
Mx+;0;6.700;6.205;-52.020;-31.250;-11.454
Mx+;1.1;-0.306;4.921;50.210;40.477;-12.292
Mx+;2.2;-10.290;3.120;172.090;121.695;-12.921
Mx+;3.3;-19.823;1.157;302.049;213.506;-13.584
Mx+;5.9;-43.423;-2.514;606.689;410.354;-15.143
Mx-;0;5.138;3.590;-40.528;-22.703;-12.004
Mx-;-1.1;13.172;5.887;-152.388;-98.170;-12.263
Mx-;-2.2;23.488;7.313;-278.425;-182.827;-12.602
Mx-;-3.3;32.747;9.520;-397.875;-263.684;-12.954
Mx-;-5.9;54.598;12.651;-682.717;-452.961;-13.075
My+;0;2.519;8.935;-36.770;-20.220;-13.129
My+;1.1;2.571;4.668;-33.334;-17.713;69.482
My+;2.2;3.062;2.731;-29.733;-15.439;153.472
My+;3.3;4.436;1.984;-29.267;-14.666;235.779
My+;5.9;6.324;0.916;-26.265;-12.452;430.231
My-;0;5.102;10.332;-39.285;-22.014;-15.076
My-;-1.1;4.712;13.284;-33.470;-18.833;-96.286
My-;-2.2;4.139;12.191;-35.423;-20.036;-179.744
My-;-3.3;3.624;12.500;-36.172;-20.749;-262.753
My-;-5.9;1.806;12.366;-38.938;-22.721;-461.148
Mz+;0;7.219;2.669;-53.808;-29.439;-11.510
Mz+;1.1;47.805;172.897;-32.606;-20.291;-15.568
Mz+;2.2;89.697;344.577;-24.667;-17.468;-20.069
Mz+;4.8;192.244;760.997;-17.120;-18.118;-33.408
Mz-;0;4.963;5.039;-26.401;-14.042;-11.448
Mz-;-1.1;-36.249;-160.329;-20.902;-8.037;-9.801
Mz-;-2.2;-79.332;-335.104;-18.506;-3.887;-8.106
Mz-;-4.8;-180.638;-743.610;-8.640;8.359;-0.907
