rname;Wsp_44m;Wsp_44m_stdev;Wdir_41m;ROT;yaw;pa;po;wsn;MyTB_mean;MyTB_stdev;MyTB_min;MyTB_max;MyTB_DEL3;MyTB_DEL6;MyTB_DEL9;MyTB_DEL12;MxTB_mean;MxTB_stdev;MxTB_min;MxTB_max;MxTB_DEL3;MxTB_DEL6;MxTB_DEL9;MxTB_DEL12;MzTT_mean;MzTT_stdev;MzTT_min;MzTT_max;MzTT_DEL3;MzTT_DEL6;MzTT_DEL9;MzTT_DEL12;Myaw_mean;Myaw_stdev;Myaw_min;Myaw_max;Myaw_DEL3;Myaw_DEL6;Myaw_DEL9;Myaw_DEL12;Mtilt_mean;Mtilt_stdev;Mtilt_min;Mtilt_max;Mtilt_DEL3;Mtilt_DEL6;Mtilt_DEL9;Mtilt_DEL12;MzR_mean;MzR_stdev;MzR_min;MzR_max;MzR_DEL3;MzR_DEL6;MzR_DEL9;MzR_DEL12;MyR_mean;MyR_stdev;MyR_min;MyR_max;MyR_DEL3;MyR_DEL6;MyR_DEL9;MyR_DEL12;MxR_mean;MxR_stdev;MxR_min;MxR_max;MxR_DEL3;MxR_DEL6;MxR_DEL9;MxR_DEL12;MyA1_mean;MyA1_stdev;MyA1_min;MyA1_max;MyA1_DEL3;MyA1_DEL6;MyA1_DEL9;MyA1_DEL12;MxA1_mean;MxA1_stdev;MxA1_min;MxA1_max;MxA1_DEL3;MxA1_DEL6;MxA1_DEL9;MxA1_DEL12
-;m/s;m/s;deg;rpm;deg;deg;kW;m/s;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm
201701012040;6.36;0.66;282.66;20.55;278.61;-1.77;175.5;6.81;-887.597;209.663;-1863.16;1003.83;437.215;1033.88;1415.37;1667.68;1002.85;194.115;-666.37;1705.53;373.775;863.087;1183.93;1394.94;36.1644;12.1316;-23.6224;82.2598;31.4125;42.7301;54.4997;63.3945;7.55451;27.5332;-81.4694;138.497;60.2929;85.9988;110.244;128.605;-103.574;25.9362;-178.265;9.21459;60.7992;82.2806;100.275;113.92;102.539;15.9047;7.34093;159.369;23.3017;53.1221;74.0957;88.038;-8.7307;76.9752;-172.021;159.529;185.069;214.514;229.17;239.613;7.14741;78.0917;-157.117;178.85;187.43;216.902;231.289;241.248;-39.5705;101.281;-205.148;156.745;228.309;258.103;269.619;276.271;-211.509;47.3831;-360.007;37.0285;74.6592;142.752;195.733;231.585
201701012050;6.68;0.47;283.25;20.3;278.61;-1.79;169.6;6.71;-855.687;137.832;-1319.04;-260.773;202.947;390.427;525.541;618.521;971.757;125.203;400.44;1435.89;204.619;370.709;502.28;595.623;39.0012;9.77941;-6.65884;69.9822;26.9487;34.5332;41.8952;47.6655;2.54092;23.058;-75.2742;95.8207;52.9863;72.463;89.5496;102.461;-110.06;20.4366;-176.338;0.585771;48.361;66.4899;84.6748;99.678;101.145;13.7385;25.6711;145.883;19.5937;41.8364;58.013;69.1;-8.65935;79.8482;-163.407;144.953;187.251;215.327;227.984;236.187;6.5259;80.7369;-142.508;170.836;187.275;214.963;227.255;235.17;-38.7412;101.547;-203.742;129.764;226.248;255.791;266.767;272.674;-205.411;32.0547;-331.265;-118.046;53.1841;86.3817;111.966;129.65
201701012100;6.24;0.46;278.1;18.6;278.61;-1.67;133.07;6.11;-690.603;131.014;-1119.25;-336.481;194.674;331.847;425.306;487.238;811.888;116.841;454.926;1157.98;186.617;296.516;376.404;431.343;40.9312;8.3573;5.81388;78.417;25.128;32.3187;39.0603;44.3262;-1.88331;18.9573;-72.096;75.4214;49.6166;66.8713;81.0032;91.7591;-107.6;19.5116;-190.58;-41.247;43.8232;61.2201;76.545;88.1889;88.9182;13.3811;19.7914;133.02;19.1961;39.9101;54.9416;65.26;-8.35653;77.8287;-176.369;164.032;177.715;209.338;225.452;237.439;3.96186;78.4283;-143.54;187.346;176.668;207.221;222.133;232.848;-32.6242;102.112;-195.114;129.919;221.82;254.406;266.548;273.04;-165.332;30.636;-274.459;-79.2139;49.5711;80.4282;103.191;118.637
201701012120;6.07;0.5;280.7;18.88;278.61;-1.73;133.55;6.22;-708.469;159.14;-1217.87;-311.616;192.998;345.871;458.883;535.563;826.988;141.757;473.604;1288.32;196.026;325.84;423.44;489.523;39.0181;8.59874;5.30696;68.4248;25.2287;31.0532;36.0001;39.8301;3.3197;20.1071;-63.5105;78.1956;49.7562;64.6843;75.9501;84.7311;-107.889;19.9718;-178.869;-24.9638;48.6867;64.7619;78.4424;89.4726;88.0526;11.3304;13.9241;121.459;19.2916;38.7822;52.7294;62.2897;-8.17686;78.1039;-168.252;156.349;179.956;210.006;223.838;233.125;4.29854;78.9564;-150.861;173.408;180.694;210.87;224.803;234.133;-32.8553;101.5;-202.756;127.753;222.788;254.997;267.087;273.637;-169.816;38.8028;-303.106;-82.3943;49.3179;84.2135;112.19;130.894
201701012130;5.9;0.47;283.28;19.25;278.61;-1.74;121.6;6.41;-684.019;118.931;-1114.03;-296.17;189.429;328.307;425.928;491.633;797.103;101.218;384.754;1199.57;187.478;320.057;417.542;483.667;40.3508;9.193;-9.22829;75.4329;25.5188;34.0752;42.8652;49.8025;2.18248;21.1511;-78.2647;112.809;50.4038;71.8899;92.2672;108.328;-111.42;20.9091;-178.009;-10.8667;48.0419;66.363;83.6438;97.5124;81.4215;16.828;8.32643;131.951;22.2564;45.2833;61.1629;71.9703;-7.9697;80.7148;-174.577;151.601;185.385;215.868;230.039;239.658;5.23934;81.5358;-146.337;170.074;184.448;214.335;228.054;237.298;-30.3431;101.697;-193.18;132.031;223.182;254.587;266.315;272.631;-167.399;30.2279;-295.519;-84.0601;50.8816;84.6;110.266;127.86
201701012150;5.47;0.37;283.52;17.68;278.51;-1.59;89.9;5.74;-531.043;103.941;-908.424;283.448;188.424;414.019;578.905;688.689;648.959;93.1171;-81.269;959.957;182.805;373.364;517.573;612.582;39.6854;6.73225;7.9548;65.2056;20.0519;25.5382;30.5421;34.5456;3.98793;15.1045;-49.6829;74.0021;39.8319;53.566;65.2083;74.3956;-109.031;15.8379;-163.436;-39.1249;37.4184;52.0145;65.3981;75.5364;68.4082;12.5497;-21.6264;98.5822;20.2097;43.3131;59.7728;70.6825;-7.77461;78.0457;-146.538;150.473;173.124;202.58;215.132;222.895;2.80367;78.7581;-145.977;145.631;173.244;202.632;215.06;222.68;-24.3394;101.324;-184.736;150.425;216.352;250.24;262.918;269.711;-130.26;25.0504;-231.914;-15.7034;42.4582;77.9644;105.613;124.805
201701020050;5.94;0.51;287.26;18.75;290.19;-1.76;144.47;6.18;-539.877;85.2085;-791.498;-253.002;149.274;221.775;283.054;326.442;1030.73;134.632;655.947;1432.89;177.063;289.904;383.888;451.192;45.7455;7.74938;17.21;77.1592;22.9019;28.4453;33.6405;37.7199;4.32229;18.7124;-66.5134;72.7348;47.2941;62.5173;75.3392;85.2265;-99.3888;17.0368;-157.339;-27.7354;40.081;53.2453;64.9515;74.665;95.9614;12.2417;50.107;127.801;13.8786;27.2093;37.5279;44.6804;-9.68577;71.7381;-163.669;139.932;163.967;191.479;204.616;214.039;3.81987;72.6292;-146.298;147.361;164.197;191.394;204.097;212.961;-35.4482;101.143;-200.579;125.747;221.034;253.255;265.282;271.727;-178.179;28.5769;-280.998;-94.7784;45.9777;70.1859;91.5596;107.628
201701020120;6.36;0.41;285.19;19.16;292.66;-1.79;146.85;6.33;-516.379;92.4788;-875.375;-279.089;144.797;233.271;305.818;356.785;1081.61;130.906;759.76;1622.56;207.099;330.026;429.042;501.709;46.4513;7.80135;18.2082;75.1211;23.022;27.7966;31.9529;35.2778;2.8585;19.1563;-70.3872;74.7135;48.3236;63.21;75.7107;85.6232;-105.896;18.2844;-172.815;-37.9496;46.3555;62.3718;75.1626;84.7035;95.5353;13.0789;15.3531;127.15;18.1497;38.7108;53.8047;64.1635;-9.70044;76.3558;-154.458;143.036;176.609;204.77;217.443;225.75;4.50192;77.2181;-148.141;163.414;177.119;205.344;218.106;226.592;-35.5776;101.364;-194.894;126.786;222.679;254.137;265.837;272.089;-185.863;30.0367;-303.306;-91.9861;48.0445;78.9793;104.932;123.202
201701020130;6.28;0.47;297.26;18.85;297.58;-1.79;148.88;6.26;-412.116;76.2994;-682.138;-123.802;135.452;215.542;280.798;327.071;1131.84;146.048;643.461;1569.31;194.96;344.904;458.911;538.76;43.7036;8.02827;18.6106;69.916;22.7328;27.0634;30.7955;33.6905;3.94181;20.128;-70.8732;65.3273;48.2335;61.619;72.8904;82.002;-109.174;17.5178;-177.172;-42.2745;43.4626;58.651;71.2101;80.8222;97.5367;12.6538;39.2589;134.164;16.7327;34.7298;46.9427;55.1873;-10.0348;78.6683;-168.774;138.225;179.711;208.853;221.875;230.35;3.65914;79.6448;-141.987;170.209;180.02;208.778;221.492;229.781;-36.3012;101.109;-199.517;123.475;220.915;252.773;264.601;270.896;-183.819;28.6025;-290.123;-98.3246;44.1941;70.188;93.3352;110.401
