time;ws70;ws44;ws18;wd70;wd41;ROT;PA;PO;NP;wsn;Azi;MxA1;MyA1;MxR;MyR;MzR;MTilt;MYaw;MzTT;MxTB;MyTB
0.04;3.7415;3.6748;2.4558;225.43;213.18;17.9;0.77;33;218.44;2.5;257.14;19.993;199.07;64.297;-38.307;3.7796;-76.975;9.3641;-18.315;-457.79;-1.3562
0.06;3.7415;3.6748;2.4558;227.73;213.18;17.9;0.77;33;218.44;2.5;259.08;17.112;199.21;64.561;-38.787;3.8727;-76.993;12.361;-19.365;-452.11;-1.3562
0.08;3.7415;3.6748;2.4558;227.73;213.19;17.9;0.77;33;218.44;2.5;261.02;13.183;199.06;65.28;-39.81;4.8553;-77.462;15.794;-20.832;-443.03;-0.53235
0.1;3.7415;3.6748;2.4558;228.35;213.22;17.9;0.77;33;218.44;2.5;262.96;9.9187;198.99;67.077;-39.673;6.4761;-78.619;17.927;-22.727;-437.25;3.0512
0.12;3.7415;3.6748;2.4558;228.35;213.22;17.8;0.77;33.2;218.44;2.8;265.88;6.8992;197.92;69.52;-39.767;9.5353;-80.039;21.641;-24.128;-434.05;6.319
0.14;3.7415;3.6748;2.4558;228.35;213.62;17.8;0.77;33.2;218.44;2.8;267.82;3.28;195.71;71.696;-39.71;13.227;-81.417;24.043;-25.53;-430.23;10.52
0.16;3.7415;3.6748;2.4558;228.24;213.79;17.8;0.77;33.2;218.44;2.8;269.76;-0.483;193.09;74.551;-39.249;17.405;-83.368;26.112;-27.061;-430.95;13.184
0.18;3.7415;3.6748;2.4558;228.24;213.79;17.8;0.77;33.2;218.44;2.8;271.7;-4.5298;189.91;77.238;-39.775;21.918;-85.142;29.333;-28.035;-434.88;16.754
0.2;3.7415;3.6748;2.4558;230.65;213.89;17.8;0.77;33.2;218.44;2.8;273.64;-8.0984;187.01;79.755;-39.469;25.65;-86.614;31.873;-30.009;-436.32;19.308
0.22;3.7415;3.6748;2.4558;230.65;214.22;17.8;0.77;33.2;218.44;2.8;275.58;-11.19;184.82;83.014;-38.643;28.433;-88.764;34.046;-31.409;-433.43;22.287
0.24;3.7415;3.6748;2.4558;230.65;214.22;17.8;0.87;33.2;218.44;1.3;278.49;-14.937;183.78;86.305;-37.718;29.35;-90.273;37.84;-32.785;-430.13;21.559
0.26;3.7415;3.6748;2.4558;231.11;214.37;17.8;0.87;33.2;218.44;1.3;280.43;-18.651;183.32;88.998;-36.742;28.864;-91.725;40.202;-34.564;-420.22;23.001
0.28;3.7415;3.5594;2.4558;231.11;214.38;17.8;0.87;33.2;218.44;1.3;282.37;-21.165;183.22;92.309;-35.035;27.276;-93.832;42.073;-35.329;-411.66;24.127
0.3;3.7676;3.5594;2.4558;232.44;214.38;17.8;0.87;33.2;218.44;1.3;284.31;-23.624;183.42;94.7;-33.25;24.726;-95.023;43.893;-36.316;-404.64;24.841
0.32;3.7676;3.5594;2.4558;232.44;214.38;17.8;0.87;33.2;218.44;1.3;286.25;-25.633;183.57;96.478;-30.71;21.617;-95.755;44.977;-36.602;-401.34;24.731
0.34;3.7676;3.5594;2.4558;232.44;214.38;17.8;0.87;33.2;218.44;1.3;289.16;-27.143;183.42;98.148;-27.867;18.716;-95.699;47.471;-35.952;-397.62;22.081
0.36;3.7676;3.5594;2.4715;233.36;214.38;17.8;0.87;33.2;218.44;1.3;291.11;-28.57;183.62;98.855;-24.521;16.339;-95.691;47.692;-35.459;-397.62;20.035
0.38;3.7676;3.5594;2.4715;233.36;214.38;17.8;0.87;33.2;218.44;1.3;293.05;-28.558;184.27;99.773;-19.784;14.033;-96.428;46.722;-34.926;-396.9;18.402
0.4;3.7676;3.5594;2.4715;230.31;214.38;17.7;0.87;33.2;218.44;3.4;294.99;-27.931;184.73;101.24;-15.009;11.525;-97.862;46.023;-34.304;-393.7;18.498
0.42;3.7676;3.5594;2.4715;230.31;214.37;17.7;0.87;33.2;218.44;3.4;296.93;-27.432;185.09;102.65;-9.9841;8.8814;-99.501;45.228;-34.538;-388.03;16.246
